msgid	msguser	msgtext	replyid	replyuser	replytext
317418298151149568	324420103	[MENTION] I asked Mr. Snow he said maybe and I am like awesome at begging him so Yaa !! You do make great change !!	317418827694628864	324420103	[MENTION] Did you think my speech was okay ?? :/
317428468088455168	324420103	[MENTION] :) I really do not like Imoni I am really glad he comes with you 4 mentoring !! She told me " shut up blondie " I was called on !!!	317429181568917504	324420103	[MENTION] She just is not the nicest person in the world !
322152188841455616	324420103	[MENTION] How ride of him !	322152488931307520	324420103	[MENTION] * rude
329363254600159232	86626528	yo guys . my friends along with my co host on " The Pitch " have started a kickstarter for and awesome new show ! ! [URL]	331493972998508544	86626528	If you havent checked it out yet my co host on " The Pitch " has started a kickstarter for and awesome new show ! [URL]
392309340339970048	1681460370	onedirection 1 . The 1D@ 2 . Would like to hear 3 . |StoryOfMyLife16secClip 4 . NOW PLEASE 🙏🙏🙏	392309479053983744	1681460370	[MENTION]
406874364622413824	278328390	[MENTION] [MENTION] a Jew who likes his kicks	557960356837216256	2735483045	[MENTION] [MENTION] [MENTION] trueeeeeeee
420493158888509440	1681460370	[MENTION] I heard you learn Hebrew so here sentence : אני אוהבת אותך . see you translate it into English ! Good luck my love ❤ ️ ❤ ️ ❤ ️ ..	420493385427091456	1681460370	[MENTION] please answer that !!!
420493158888509440	1681460370	[MENTION] I heard you learn Hebrew so here sentence : אני אוהבת אותך . see you translate it into English ! Good luck my love ❤ ️ ❤ ️ ❤ ️ ..	420493540788293632	1681460370	[MENTION] and follow me please it's so important to me !!!
420493158888509440	1681460370	[MENTION] I heard you learn Hebrew so here sentence : אני אוהבת אותך . see you translate it into English ! Good luck my love ❤ ️ ❤ ️ ❤ ️ ..	420574217479147520	1681460370	[MENTION] why ??
420493158888509440	1681460370	[MENTION] I heard you learn Hebrew so here sentence : אני אוהבת אותך . see you translate it into English ! Good luck my love ❤ ️ ❤ ️ ❤ ️ ..	420574304049180672	1681460370	[MENTION] I really not understand you ?
420493158888509440	1681460370	[MENTION] I heard you learn Hebrew so here sentence : אני אוהבת אותך . see you translate it into English ! Good luck my love ❤ ️ ❤ ️ ❤ ️ ..	420574418805747712	1681460370	[MENTION] why you doing this to me ?!
420493158888509440	1681460370	[MENTION] I heard you learn Hebrew so here sentence : אני אוהבת אותך . see you translate it into English ! Good luck my love ❤ ️ ❤ ️ ❤ ️ ..	420574460358709248	1681460370	[MENTION] please ?!
420493158888509440	1681460370	[MENTION] I heard you learn Hebrew so here sentence : אני אוהבת אותך . see you translate it into English ! Good luck my love ❤ ️ ❤ ️ ❤ ️ ..	420574604873445376	1681460370	[MENTION] I want it so much !!!
433007194728968192	278328390	Hey guys . I just want you to know that I love you .	549831692874027008	2541854413	“ [MENTION] : Hey guys . I just want you to know that I love you . ” 💛
435213477284560896	278328390	Cheesin hard [MENTION] [URL]	557300871638175744	2652746424	[MENTION] [MENTION] baby sammy
435213477284560896	278328390	Cheesin hard [MENTION] [URL]	557300882589511680	2652746424	[MENTION] [MENTION] daddys
435213477284560896	278328390	Cheesin hard [MENTION] [URL]	557300904232112128	2652746424	[MENTION] [MENTION] baby daddy !!!
438180683505090560	324420103	[MENTION] follow luvbug your my ❤	438181633460408320	324420103	[MENTION] cammmmytt
440778375703977984	732782090	[MENTION] haha 5.06 cuz i need type " sorry etcccccc " HAHAHAHA	440778426748661760	732782090	[MENTION] and you know how bad my chinese is oops
440780416992047104	732782090	[MENTION] [MENTION] [MENTION] HOHO SAME BOATS	440780567420760064	732782090	[MENTION] [MENTION] [MENTION] ROW ROW ROW A BOAT GENTLY DOWN THE STREAM
450680698668863488	495074577	This is my outfit for the day ... Brings air to all the right areas [MENTION] [MENTION]	450680952998875136	495074577	I forgot to add the picture , awkward ... [MENTION] [MENTION] [URL]
455394995928051712	330705266	. [MENTION] I need all your guys help !!! Tweet them !	455395135023763456	330705266	[MENTION] |verifyhayesgrier
455394995928051712	330705266	. [MENTION] I need all your guys help !!! Tweet them !	455395157903683584	330705266	[MENTION] |verifyhayes
455395157903683584	330705266	[MENTION] |verifyhayes	455395681466060800	330705266	[MENTION]
455399116051587072	330705266	I'm gonna DM people now ! [URL]	455690012223627264	330705266	No sleep
455411700314157056	330705266	I love you	455411816407904256	324420103	[MENTION] ilym
456987686624952320	278328390	RT if you want magcon to stick together	544620282242404352	1876508618	[MENTION] I would love it if they got back together now
457332023641001984	133093395	[MENTION] ? I didn't meet you today .. very strange I haven't left the house	457335181876416512	133093395	[MENTION] knocked on what door ?
457974656184512512	330705266	How's everyone's Easter goin !	457983258102206464	324420103	[MENTION] hot , just like YOU bae <3
458978418567032832	732782090	[MENTION] huh u above 160 meh	458979634462203904	732782090	[MENTION] * 153
460248988537483264	163645988	[MENTION]	460249455413829632	163645988	[MENTION] PICK UP YOUR PHONE I SEE YOU ON TWITTER
460658748025888768	163645988	My glasses broke . I look like a nerdy pirate . Groovy duude . [URL]	461691747978862592	139539038	[MENTION] [URL]
461633041769582592	495074577	Yeah man ! How badass is he ? I named him Barney [MENTION]	461633461099298816	495074577	I realised Barney is already a dinosaur , he's renamed to Sheila and is now a girl [MENTION]
466754731214254080	163645988	I salute you muurrrrica 🇺🇸🍔🏈⚾️🍺 [URL]	466757534922309632	139539038	[MENTION] wcw
467429080049418240	495074577	Man [MENTION] i have The Fault In Our Stars on repeaaaaaaatttt	467431653225529344	495074577	I may have misread the title of the video I'm sorry D: [MENTION]
467802146927149056	382402366	Lil Sammy 😊 [URL]	555526160344305664	1661101519	[MENTION] awwe😂
468503457985347584	330705266	Come see me in Atlanta links in bio !!! [MENTION] [MENTION]	468543930561073152	330705266	[MENTION] [MENTION] Atlantas gonna be fun . Can't wait to meet all you guys !
470768587259392000	163645988	I got some Mexican fruit today , went to a record store , bought bunch of alien movies & found pretty tree [URL]	470795797827575808	139539038	... [MENTION] Wuz a good day indeedy 👽
472184223332597760	139539038	I can't think of a corny tweet so ima jus flat out say I miss lia	472209607234830336	163645988	[MENTION] miss u more than the stars in la ... 🌙 dude .
475377367096262656	330705266	What's tomorrow ?	475509025727971328	2519340408	[MENTION] yo birthday 😏 ily hayes
477426083394887680	382402366	It had to have been jj	477440898708410368	382402366	. [MENTION] or cosgrove ...
477634310686515200	139539038	HAhahahhahahahahah .... bae [URL]	477654952546816000	163645988	[MENTION] DUDE NOOO WHAT RYOY DOYNG
478288368699056128	139539038	I like to do dangerous shiz what's wrong w me [URL]	478297875009400832	163645988	[MENTION] YOURE CRAZY WILD CAT hope you fall in 💞💞💞💞💞
478297875009400832	163645988	[MENTION] YOURE CRAZY WILD CAT hope you fall in 💞💞💞💞💞	478303710078971904	139539038	... [MENTION] I JUS LIKE TO HAVE FUN WAAHHOOOO !! [URL]
478303710078971904	139539038	... [MENTION] I JUS LIKE TO HAVE FUN WAAHHOOOO !! [URL]	478306303169658880	163645988	[MENTION] rly bitch [URL]
478637152327061504	278328390	|tookonaniphone [URL]	557301147698880512	2652746424	[MENTION] first pic i ever saw of h
478637152327061504	278328390	|tookonaniphone [URL]	557301160416014336	2652746424	[MENTION] u
479347042506911744	139539038	When u realize bae is thousands of miles away [URL]	479362678486732800	163645988	[MENTION] [URL]
479426505018056704	1799376955	[MENTION] porfavor porfavor sigueme te amo te amo eres el 25% de mi felicidad el ptro pprciento son los chikos no me falles	479427316091588608	1799376955	[MENTION] siguemee no te pido mas eso es algo que ahora mas que nunca me hara feliz
479729518672760832	330705266	Everyone tweets those inspirational things while I'm over here like , " I'm hungry . "	479736492823035904	2519340408	[MENTION] I'm hungry too 😭😂
481496266359472128	278328390	Ow [URL]	481497693274263552	382402366	. [MENTION] those eyebrows are your racing stripes
481496266359472128	278328390	Ow [URL]	558454962674343936	1284721326	[MENTION] EYEBROWS EYEBROWS FUCKKG
482833615378583552	330705266	I need [MENTION] to teach me how to backflip	484398803802652672	278328390	. [MENTION] we can definitely arrange that ... how long are you in LA for ?
483343690404864000	330705266	I lose too many phone chargers	483365873088860160	2519340408	[MENTION] I break two many chargers 😂
483498182929047552	1396698397	What does 5SOS do in the winter ?	483500412012478464	2429604951	[MENTION] omg Taylor😂
484355199562027008	330705266	Check out my new YouTube video !! Be sure to like and subscribe gonna follow people who watch and retweet this !! [URL]	484355357636964352	330705266	|HayesVideo |HayesVideo
484565927229263872	330705266	[MENTION] unfollow < ~ it's fake	484568884200996864	330705266	Skylynn only has a Instagram it's skylynn_johnniefloyd
484943914277683200	139539038	Btw new video uploading😁🚀	484955555950100480	308297673	- [MENTION] yay OMG a JC Cailen video at 2am !! I'm so excited to watch it 😍 follow me x78
485049099478396928	382402366	😊 [URL]	555198038147624960	2354208169	[MENTION] are you OKAY😣😂
485094729982304256	330705266	Happy July fourth 🇺🇸 |america	485098275045777408	2519340408	“ [MENTION] : Happy July fourth 🇺🇸 |america ” yas 💕
485586339463974912	1396698397	Are new song is actually kinda good	485638919732854784	588004256	“ [MENTION] : Are new song is actually kinda good ” OUR , taylor OUR .... not are .
485876127605350400	308297673	today's national kissing day ... so here ya go 😘 ( x 1 million ) 😊	485880331682467840	139539038	... [MENTION] u have 1.2 million followers so technically u missed over 200,000 people . Why u discriminating
485883736836165632	139539038	For national kiss day here ya go 😘 ( x 1.3 million cuz I don't discriminate like Kian ) 😉	485886788003590144	308297673	- [MENTION] 1,309,674 ... U just discriminated over 9,674 people 😎
486023915383160832	2488491690	[MENTION] I'm the same way I told a bitch I was gonna throw my show at her if she didn't shut up 😂😂😂	486024060581597184	2488491690	[MENTION] oops I meant shoe
486170490558742528	495074577	Hyde Park 💃💃💃 [URL]	486187144130859008	495074577	By [MENTION] the dog himself
486241298437783552	278328390	Favorite this if you want me and Jack to make a Spanish soap opera skit for our next YouTube video	486241718032162816	382402366	. [MENTION] lmaoo yesssss
486274064034840576	2188697749	az önce kendi ellerimle ittiğim bir şey için baya baya üzüldüm insan değerini kaybedince anlıyo çünkü	486274356558192640	2188697749	ama o fırsat elime yine geçse yine kendi ellerimle iterdim benim hayatımın özeti tam olarak bu [MENTION]
486279404080099328	2626722111	[MENTION] go watch |CashNewVideo [URL] you so much 💞	486279678387580928	2626722111	[MENTION] [MENTION] Go watch |CashNewVideo [URL]��� Love you guys
486583974555168768	308297673	me & the lil sis posted in our gear 💺✈️ [URL]	486584863995465728	139539038	... [MENTION] u look super saiyan minus the muscles & manliness [URL]
486627187944996864	139539038	Im bored .. Guess I'll shower or eat or something . I miss wishbone	486633387411927040	308297673	[MENTION] I'll be home soon 😁 start crying now , cause when I get there , I'll beat ur crusty ass @ mariokart ...
486663533388902400	588004256	[MENTION] why I that sad ?	486669075675103232	588004256	[MENTION] 😂😂😂😂😂
486722992563429376	278328390	Carter and I randomly just passed tf out for a good 2 hours	486725110829948928	588004256	“ [MENTION] : Carter and I randomly just passed tf out for a good 2 hours ” I drugged you . |sorrynotsorry
486870661336686592	330705266	Should I post more YouTube videos ? Do you guys like them ?	486880857383530496	330705266	I'm starting to edit one tomorrow !
486915534877757440	330705266	I want to move to California	487272545100771328	382402366	.. [MENTION] let's go together
487806294867206144	163645988	I miss my hermit crabs but FRIKEN JC SENT THEM " FREE " he said he put them into the " wild " LIKE WHAT ??? THEYRE CRABS [URL]	487819358207344640	139539038	... [MENTION] they're in a better place now🌈
487819358207344640	139539038	... [MENTION] they're in a better place now🌈	487821093218947072	163645988	[MENTION] YEAH . HEAVEN . THEY'RE PROBABLY DEAD
488065145466138624	308297673	busy day today 😣	488072743078752256	139539038	... [MENTION] damn woah cool it there ur doin too many chores at once [URL]
489363521046466560	1681460370	[MENTION] |HappyBirthdayTheo	489364091744448512	1681460370	[MENTION] [MENTION]
489968621494337536	278328390	wtf sam [URL]	489969373529268224	382402366	Ohhh yeah baby [MENTION] 😜😂
491408998608805888	278328390	I subconsciously just started to eat my sandwich like this [URL]	491409630963462144	382402366	.. [MENTION] that's a runza , not a samdwich ... JACK
492054385585696768	139539038	Damn ... idk what to film for O2L or my main channel ... 😳yikes	492057712448897024	163645988	[MENTION] that's a shocker . When in doubt , make a porno . It can be fan interactive too . I'm throwin out gold here
492149463062818816	308297673	I LEARNED HOW TO DO A BACKFLIP 😮😁	492188216863121408	139539038	.. [MENTION] ur welcome young grasshopper🙏
492459014274678784	139539038	For fun [URL]	492464193912569856	308297673	- [MENTION] it's ok 😺 [URL]
494529768537067520	139539038	.. [MENTION] Oii !!! G-bo !! Let go get breakfast & get to work . Big day today	494531793689649152	308297673	[MENTION] OY , G-BO !! takin a whizz now , I want choco chip pancakes 😊 lesssss goooo 🍴
494706873346822144	841076833	Somehow my phone doesn't catch all of [MENTION] tweets so I have to go stalk half the time 😁	494708036251160576	841076833	[MENTION] I was kidding I actually don't stalk ... 😅 I meant why wouldn't you stalk Kelly ? 💁
494987392139292672	278328390	I love this shirt but [MENTION] bought it the day before me and wore it in a photo shoot ... so ya |ThanksMatt [URL]	494995123143319552	278328390	the day after ** 😠
495815110695206912	308297673	s/o to all my beautiful kian girls 😘 keep doin what ur doin , boo thangs 😉😍	495815468331327488	841076833	[MENTION] you never fail to make me smile 😍😘
496120430277562368	139539038	SOS GETTIN ATTACKED BY KITTENS PS - I LIKE IT [URL]	496120596137140224	308297673	- [MENTION] 😂😂😂😂 ya fuckin schmuck
